,RT_LMP,RT_MCC,RT_MCE,RT_MCL,RT_MGHG,DA_LMP,DA_MCC,DA_MCE,DA_MCL,DA_MGHG,Export,Generation,Import,NP15_Solar_Renewable Forecast Actual Generation,NP15_Wind_Renewable Forecast Actual Generation,SP15_Solar_Renewable Forecast Actual Generation,SP15_Wind_Renewable Forecast Actual Generation,ZP26_Solar_Renewable Forecast Actual Generation,NP15_Solar_Renewable Forecast Day Ahead,NP15_Wind_Renewable Forecast Day Ahead,SP15_Solar_Renewable Forecast Day Ahead,SP15_Wind_Renewable Forecast Day Ahead,ZP26_Solar_Renewable Forecast Day Ahead,HLY-CLDH-NORMAL_USW00023129,HLY-CLDH-NORMAL_USW00023174,HLY-CLDH-NORMAL_USW00023188,HLY-HTDH-NORMAL_USW00023129,HLY-HTDH-NORMAL_USW00023174,HLY-HTDH-NORMAL_USW00023188,HLY-TEMP-NORMAL_USW00023129,HLY-TEMP-NORMAL_USW00023174,HLY-TEMP-NORMAL_USW00023188,DART,friday,weekend,hour,Total_Solar_Actual,Total_Solar_Forecast,Total_Wind_Actual,Total_Wind_Forecast,Total_Wind_Solar_Actual,Total_Wind_Solar_Forecast,renew_forecast_error,prev_day_renew_forecast_error,prev_day_Export,prev_day_Generation,prev_day_Import
2022-08-01 00:00:00-07:00,83.619805,0.460775,77.05372416666667,6.105308333333333,0.0,76.04114,-4.3327,82.15664,-1.7828,0.0,1713.0491666666667,19642.9325,8977.858333333334,-1.95114,954.09933,-27.70181,300.74509,-6.2307,0.0,1014.61,0.0,924.8,0.0,3.3,2.6,3.4,0.2,0.3,0.2,68.1,67.3,68.2,-7.578665000000001,0,0,0,-35.883649999999996,0.0,1254.84442,1939.4099999999999,1218.96077,1939.4099999999999,-720.44923,,,,
2022-08-01 01:00:00-07:00,88.22243250000001,-3.2380108333333335,84.2394675,7.220975,0.0,76.73656,-2.02852,78.76508,0.0,0.0,1704.0441666666666,17922.9325,8900.603333333333,-1.99908,945.16246,-27.63228,247.90854,-6.28022,0.0,963.14,0.0,888.36,0.0,5.5,4.5,4.6,0.1,0.1,0.1,70.4,69.4,69.5,-11.485872500000013,0,0,1,-35.91158,0.0,1193.071,1851.5,1157.15942,1851.5,-694.34058,,,,
2022-08-01 02:00:00-07:00,79.83085416666667,-0.8737058333333333,74.13073833333333,6.5738208333333334,0.0,74.60014,-2.18867,78.20431,-1.4155,0.0,1684.7958333333333,17019.880833333333,9009.977499999999,-2.0256,881.37875,-27.3824,170.59426,-6.25808,0.0,917.15,0.0,791.97,0.0,8.0,6.3,6.1,-777.7,-777.7,-777.7,73.0,71.3,71.1,-5.230714166666672,0,0,2,-35.66608,0.0,1051.97301,1709.12,1016.30693,1709.12,-692.8130699999999,,,,
2022-08-01 03:00:00-07:00,80.46104666666666,-0.30314583333333334,73.96338333333334,6.800810833333333,0.0,74.37176,-1.41315,77.2291,-1.44418,0.0,1675.4216666666669,16178.835,9270.408333333333,-1.97188,494.96685,-28.41868,82.63136,-6.19238,0.0,846.18,0.0,669.89,0.0,10.0,7.3,7.4,0.0,-777.7,-777.7,75.0,72.3,72.4,-6.089286666666666,0,0,3,-36.582939999999994,0.0,577.59821,1516.07,541.01527,1516.07,-975.05473,,,,
2022-08-01 04:00:00-07:00,83.78054,0.0,76.49064583333333,7.289891666666667,0.0,74.57854,-2.37722,78.36636,-1.41059,0.0,1676.0475,16574.642499999998,9150.859166666667,-1.94605,643.38513,-28.80428,49.04041,-6.12006,0.0,815.75,0.0,604.38,0.0,11.6,8.1,8.5,0.0,-777.7,0.0,76.6,73.1,73.5,-9.201999999999998,0,0,4,-36.87039,0.0,692.42554,1420.13,655.5551499999999,1420.13,-764.5748500000002,,,,
2022-08-01 05:00:00-07:00,90.98649333333333,0.0,83.3115775,7.674919166666666,0.0,79.26072,-2.35657,83.1472,-1.52991,0.0,1727.595,17637.314166666667,8716.9175,-1.98076,606.13502,-31.11495,53.92449,-6.18766,0.0,739.81,0.2,529.42,0.0,13.2,8.4,9.2,0.0,-777.7,0.0,78.2,73.4,74.2,-11.725773333333322,0,0,5,-39.28337,0.2,660.05951,1269.23,620.77614,1269.43,-648.65386,,,,
2022-08-01 06:00:00-07:00,93.2851225,-13.077509999999998,98.75832750000001,7.6043075,0.0,98.46591,-1.19742,101.1092,-1.44586,0.0,2351.3891666666664,19259.881666666668,8628.064166666667,15.15325,586.93618,352.65441,55.29218,28.44803,85.06,672.8,543.94,455.45,74.41,14.4,8.5,9.4,0.0,0.0,0.0,79.4,73.5,74.4,5.180787499999994,0,0,6,396.25569,703.41,642.2283600000001,1128.25,1038.48405,1831.6599999999999,-793.1759499999998,,,,
2022-08-01 07:00:00-07:00,88.48377583333333,-10.560093333333333,99.04386916666665,0.0,0.0,78.47056,0.0,80.75595,-2.28539,0.0,2247.0475,20484.900833333333,7702.329166666666,196.40732,441.98909,2111.23741,62.70137,380.88799,673.87,587.2,3347.76,333.91,640.51,15.2,8.2,9.4,0.0,0.0,0.0,80.2,73.2,74.4,-10.01321583333332,0,0,7,2688.53272,4662.14,504.69046,921.1100000000001,3193.22318,5583.25,-2390.02682,,,,
2022-08-01 08:00:00-07:00,77.4084175,0.0,77.4084175,0.0,0.0,72.32367,0.0,74.94681,-2.62314,0.0,2330.508333333333,22607.125833333335,6992.901666666666,562.40217,295.91144,5043.71611,56.8441,867.08799,1121.69,504.83,5743.99,207.37,1182.33,15.2,7.6,9.1,0.0,-777.7,0.0,80.2,72.6,74.1,-5.084747499999992,0,0,8,6473.206270000001,8048.01,352.75554,712.2,6825.961810000001,8760.210000000001,-1934.2481900000002,,,,
2022-08-01 09:00:00-07:00,76.72384416666667,-3.6675974999999994,79.35813916666667,1.0333033333333332,0.0,72.4557,0.0,74.76597,-2.31027,0.0,2608.1408333333334,23569.9825,6901.9725,793.92601,137.7503,6265.22257,39.45867,1272.58289,1273.95,463.65,6732.09,161.08,1461.83,14.2,6.6,8.4,0.0,-777.7,-777.7,79.2,71.6,73.4,-4.268144166666673,0,0,9,8331.73147,9467.869999999999,177.20897000000002,624.73,8508.94044,10092.599999999999,-1583.6595599999982,,,,
2022-08-01 10:00:00-07:00,79.32306083333333,-3.5409666666666664,81.40744583333334,1.45658,0.0,72.94586,0.0,75.64644,-2.70058,0.0,2612.72,25192.559999999998,6899.0,855.83476,118.01121,7180.03311,43.89222,1619.75967,1365.79,410.55,7280.73,157.26,1625.77,12.2,5.4,7.4,0.0,-777.7,-777.7,77.2,70.3,72.4,-6.377200833333333,0,0,10,9655.62754,10272.29,161.90343000000001,567.81,9817.53097,10840.1,-1022.5690300000006,,,,
2022-08-01 11:00:00-07:00,87.82141666666666,0.0,86.13728166666668,1.6841383333333333,0.0,76.34786,-0.06697,76.41483,0.0,0.0,2797.7616666666668,26996.67916666667,6964.1483333333335,948.83825,119.12167,7617.90336,94.39012,1673.61293,1438.81,343.55,7576.49,187.98,1725.83,9.4,3.8,6.0,0.0,0.1,-777.7,74.4,68.7,71.0,-11.473556666666667,0,0,11,10240.35454,10741.13,213.51179,531.53,10453.86633,11272.66,-818.7936699999991,,,,
2022-08-01 12:00:00-07:00,88.17750083333334,0.0,86.07979583333334,2.097705,0.0,83.41461,-0.30029,83.7149,0.0,0.0,3041.034166666667,28438.534166666668,6949.911666666667,1139.23346,142.71765,7777.33031,168.35053,1778.41362,1497.7,297.92,7614.76,262.42,1808.51,6.1,2.3,4.6,-777.7,0.3,-777.7,71.1,67.0,69.6,-4.762890833333344,0,0,12,10694.97739,10920.970000000001,311.06818,560.34,11006.04557,11481.310000000001,-475.2644300000011,,,,
2022-08-01 13:00:00-07:00,90.24980666666666,0.0,88.0247275,2.2250791666666667,0.0,89.81031,-0.30661,90.11692,0.0,0.0,3287.9708333333333,31040.571666666667,7524.215833333333,1260.0907,187.64512,7758.16915,219.30038,1859.50583,1543.33,321.32,7615.91,346.57,1820.24,4.3,1.9,4.0,0.1,0.4,0.1,69.3,66.4,69.0,-0.4394966666666562,0,0,13,10877.76568,10979.48,406.9455,667.89,11284.71118,11647.369999999999,-362.65881999999874,,,,
2022-08-01 14:00:00-07:00,113.32980583333334,15.233955,94.24624166666666,3.8496066666666664,0.0,92.8672,-0.09982,92.96702,0.0,0.0,3674.015,32229.829166666666,8132.581666666666,1369.58061,189.20007,7162.39767,271.98316,1821.3764,1566.5,351.7,7477.07,475.6,1765.92,3.5,1.7,3.8,0.2,0.5,0.1,68.4,66.2,68.7,-20.462605833333342,0,0,14,10353.35468,10809.49,461.18323,827.3,10814.537910000001,11636.789999999999,-822.2520899999981,,,,
2022-08-01 15:00:00-07:00,117.83559666666667,17.160396666666667,98.9187225,1.7564808333333335,0.0,103.66651,4.55426,99.11225,0.0,0.0,3879.1883333333335,32667.635,8547.710833333333,1346.67527,130.93755,6184.01999,382.44398,1728.6228,1561.13,388.45,7241.15,713.8,1691.53,2.9,1.6,3.6,0.3,0.6,0.1,67.7,66.0,68.5,-14.169086666666672,0,0,15,9259.31806,10493.81,513.38153,1102.25,9772.69959,11596.06,-1823.3604099999993,,,,
2022-08-01 16:00:00-07:00,90.93580583333333,9.4650575,81.4707475,0.0,0.0,101.67,1.60485,100.06515,0.0,0.0,3991.19,32572.664166666666,9580.191666666668,1245.75905,122.99769,5579.65221,623.54781,1609.95935,1529.8,443.79,6599.88,939.08,1556.13,2.6,1.5,3.4,0.3,0.6,0.1,67.2,65.9,68.3,10.734194166666668,0,0,16,8435.37061,9685.810000000001,746.5455000000001,1382.8700000000001,9181.91611,11068.680000000002,-1886.763890000002,,,,
2022-08-01 17:00:00-07:00,107.6147175,14.275154166666667,91.22008,2.1194841666666666,0.0,116.26418,0.0,116.26418,0.0,0.0,3764.2666666666664,31737.32416666667,9985.33,1199.89655,110.08668,4352.51402,628.09098,1392.93408,1395.22,466.94,5318.29,1107.32,1283.29,,1.3,3.1,,0.6,0.1,,65.7,68.1,8.649462499999998,0,0,17,6945.34465,7996.8,738.17766,1574.26,7683.52231,9571.06,-1887.5376899999992,,,,
2022-08-01 18:00:00-07:00,109.09505916666666,18.62335,88.38255083333333,2.089155,0.0,129.33813,3.52916,125.80898,0.0,0.0,3614.879166666667,31233.509166666667,10302.281666666668,905.93218,80.72432,2047.32679,1020.74513,800.68561,935.98,473.05,2771.66,1248.15,799.19,,1.3,3.1,,0.7,0.1,,65.5,68.0,20.24307083333335,0,0,18,3753.94458,4506.83,1101.46945,1721.2,4855.41403,6228.03,-1372.6159699999998,,,,
2022-08-01 19:00:00-07:00,104.02103166666666,10.214143333333334,90.48386583333333,3.3230191666666666,0.0,156.8921,0.32252,156.56958,0.0,0.0,3470.183333333333,29776.978333333333,10287.765833333333,273.95596,39.02985,239.2774,1478.98118,148.45531,186.33,486.79,333.13,1363.65,132.3,,1.2,3.0,,0.8,0.2,,65.4,67.8,52.87106833333334,0,0,19,661.68867,651.76,1518.01103,1850.44,2179.6997,2502.2,-322.5002999999997,,,,
2022-08-01 20:00:00-07:00,94.99025333333333,3.1466208333333334,84.91016666666667,6.933464166666667,0.0,128.1284,0.0,128.1284,0.0,0.0,3117.763333333334,28599.815000000002,10563.906666666668,3.28107,18.37616,-36.8448,1766.12607,-7.37401,0.18,519.08,0.06,1555.99,0.05,,1.1,2.8,,0.8,0.2,,65.3,67.6,33.13814666666667,0,0,20,-40.93774,0.29,1784.50223,2075.07,1743.56449,2075.36,-331.79551000000015,,,,
2022-08-01 21:00:00-07:00,92.52677833333333,0.5217608333333333,84.59291416666666,7.412106666666666,0.0,119.33,0.0,119.33,0.0,0.0,2894.015,27099.515,10138.420833333334,-2.84496,-2.72139,-35.00367,1971.87635,-6.51699,0.0,557.71,0.0,1714.71,0.0,,1.1,2.7,,0.8,0.2,,65.2,67.5,26.803221666666673,0,0,21,-44.36562,0.0,1969.15496,2272.42,1924.78934,2272.42,-347.63066000000003,,,,
