,RT_LMP,RT_MCC,RT_MCE,RT_MCL,RT_MGHG,DA_LMP,DA_MCC,DA_MCE,DA_MCL,DA_MGHG,Export,Generation,Import,NP15_Solar_Renewable Forecast RTD,NP15_Wind_Renewable Forecast RTD,SP15_Solar_Renewable Forecast RTD,SP15_Wind_Renewable Forecast RTD,ZP26_Solar_Renewable Forecast RTD,renewables_rtd,HLY-CLDH-NORMAL_USW00023129,HLY-CLDH-NORMAL_USW00023174,HLY-CLDH-NORMAL_USW00023188,HLY-HTDH-NORMAL_USW00023129,HLY-HTDH-NORMAL_USW00023174,HLY-HTDH-NORMAL_USW00023188,HLY-TEMP-NORMAL_USW00023129,HLY-TEMP-NORMAL_USW00023174,HLY-TEMP-NORMAL_USW00023188,DART,friday,weekend,hour,Total_Solar_Forecast_RTD,Total_Wind_Forecast_RTD,Total_Wind_Solar_Forecast_RTD,renew_forecast_error,prev_day_renew_forecast_error,prev_day_Export,prev_day_Generation,prev_day_Import
2022-08-01 07:00:00+00:00,83.619805,0.460775,77.05372416666667,6.105308333333333,0.0,76.04114,-4.3327,82.15664,-1.7828,0.0,1713.0491666666667,19642.9325,8977.858333333334,0.0,960.38,0.0,337.03,0.0,1293.55,3.3,2.6,3.4,0.2,0.3,0.2,68.1,67.3,68.2,-7.578665000000001,0,0,7,0.0,1297.4099999999999,1297.4099999999999,-3.8599999999999,,,,
2022-08-01 08:00:00+00:00,88.22243250000001,-3.2380108333333335,84.2394675,7.220975,0.0,76.73656,-2.02852,78.76508,0.0,0.0,1704.0441666666666,17922.9325,8900.603333333333,0.0,818.13,0.0,280.05,0.0,1171.26,5.5,4.5,4.6,0.1,0.1,0.1,70.4,69.4,69.5,-11.485872500000013,0,0,8,0.0,1098.18,1098.18,73.07999999999993,,,,
2022-08-01 09:00:00+00:00,79.83085416666667,-0.8737058333333333,74.13073833333333,6.5738208333333334,0.0,74.60014,-2.18867,78.20431,-1.4155,0.0,1684.7958333333333,17019.880833333333,9009.977499999999,0.0,1033.52,0.0,227.55,0.0,1139.34,8.0,6.3,6.1,-777.7,-777.7,-777.7,73.0,71.3,71.1,-5.230714166666672,0,0,9,0.0,1261.07,1261.07,-121.73000000000002,,,,
2022-08-01 10:00:00+00:00,80.46104666666666,-0.30314583333333334,73.96338333333334,6.800810833333333,0.0,74.37176,-1.41315,77.2291,-1.44418,0.0,1675.4216666666669,16178.835,9270.408333333333,0.0,720.25,0.0,143.26,0.0,629.77,10.0,7.3,7.4,0.0,-777.7,-777.7,75.0,72.3,72.4,-6.089286666666666,0,0,10,0.0,863.51,863.51,-233.74,,,,
2022-08-01 11:00:00+00:00,83.78054,0.0,76.49064583333333,7.289891666666667,0.0,74.57854,-2.37722,78.36636,-1.41059,0.0,1676.0475,16574.642499999998,9150.859166666667,0.0,520.86,0.0,53.14,0.0,653.53,11.6,8.1,8.5,0.0,-777.7,0.0,76.6,73.1,73.5,-9.201999999999998,0,0,11,0.0,574.0,574.0,79.52999999999997,,,,
2022-08-01 12:00:00+00:00,90.98649333333333,0.0,83.3115775,7.674919166666666,0.0,79.26072,-2.35657,83.1472,-1.52991,0.0,1727.595,17637.314166666667,8716.9175,0.0,751.99,0.0,56.5,0.0,708.06,13.2,8.4,9.2,0.0,-777.7,0.0,78.2,73.4,74.2,-11.725773333333322,0,0,12,0.0,808.49,808.49,-100.43000000000006,,,,
2022-08-01 13:00:00+00:00,93.2851225,-13.077509999999998,98.75832750000001,7.6043075,0.0,98.46591,-1.19742,101.1092,-1.44586,0.0,2351.3891666666664,19259.881666666668,8628.064166666667,0.19,504.69,7.41,59.02,0.05,1103.09,14.4,8.5,9.4,0.0,0.0,0.0,79.4,73.5,74.4,5.180787499999994,0,0,13,7.65,563.71,571.36,531.7299999999999,,,,
2022-08-01 14:00:00+00:00,88.48377583333333,-10.560093333333333,99.04386916666665,0.0,0.0,78.47056,0.0,80.75595,-2.28539,0.0,2247.0475,20484.900833333333,7702.329166666666,99.09,628.53,1186.47,60.18,151.9,3222.35,15.2,8.2,9.4,0.0,0.0,0.0,80.2,73.2,74.4,-10.01321583333332,0,0,14,1437.46,688.7099999999999,2126.17,1096.1799999999998,,,,
2022-08-01 15:00:00+00:00,77.4084175,0.0,77.4084175,0.0,0.0,72.32367,0.0,74.94681,-2.62314,0.0,2330.508333333333,22607.125833333335,6992.901666666666,383.79,377.25,3674.49,58.78,618.44,6599.64,15.2,7.6,9.1,0.0,-777.7,0.0,80.2,72.6,74.1,-5.084747499999992,0,0,15,4676.719999999999,436.03,5112.749999999999,1486.8900000000012,,,,
2022-08-01 16:00:00+00:00,76.72384416666667,-3.6675974999999994,79.35813916666667,1.0333033333333332,0.0,72.4557,0.0,74.76597,-2.31027,0.0,2608.1408333333334,23569.9825,6901.9725,733.03,205.46,5775.79,27.16,1117.57,8463.02,14.2,6.6,8.4,0.0,-777.7,-777.7,79.2,71.6,73.4,-4.268144166666673,0,0,16,7626.389999999999,232.62,7859.009999999999,604.0100000000011,,,,
2022-08-01 17:00:00+00:00,79.32306083333333,-3.5409666666666664,81.40744583333334,1.45658,0.0,72.94586,0.0,75.64644,-2.70058,0.0,2612.72,25192.559999999998,6899.0,865.32,121.24,6228.01,31.02,1511.68,9625.89,12.2,5.4,7.4,0.0,-777.7,-777.7,77.2,70.3,72.4,-6.377200833333333,0,0,17,8605.01,152.26,8757.27,868.619999999999,,,,
2022-08-01 18:00:00+00:00,87.82141666666666,0.0,86.13728166666668,1.6841383333333333,0.0,76.34786,-0.06697,76.41483,0.0,0.0,2797.7616666666668,26996.67916666667,6964.1483333333335,1037.76,130.04,7245.39,39.42,1809.44,10330.29,9.4,3.8,6.0,0.0,0.1,-777.7,74.4,68.7,71.0,-11.473556666666667,0,0,18,10092.59,169.45999999999998,10262.05,68.2400000000016,,,,
2022-08-01 19:00:00+00:00,88.17750083333334,0.0,86.07979583333334,2.097705,0.0,83.41461,-0.30029,83.7149,0.0,0.0,3041.034166666667,28438.534166666668,6949.911666666667,1036.97,111.82,7778.92,90.02,1744.21,10909.28,6.1,2.3,4.6,-777.7,0.3,-777.7,71.1,67.0,69.6,-4.762890833333344,0,0,19,10560.099999999999,201.83999999999997,10761.939999999999,147.34000000000196,,,,
2022-08-01 20:00:00+00:00,90.24980666666666,0.0,88.0247275,2.2250791666666667,0.0,89.81031,-0.30661,90.11692,0.0,0.0,3287.9708333333333,31040.571666666667,7524.215833333333,1259.99,144.58,7635.75,133.92,1859.75,11254.34,4.3,1.9,4.0,0.1,0.4,0.1,69.3,66.4,69.0,-0.4394966666666562,0,0,20,10755.49,278.5,11033.99,220.35000000000036,,,,
