INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2022-08-22T07:00:00-00:00,2022-08-22T07:05:00-00:00,2022-08-22,01,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,2.30288,1,1
2022-08-22T07:05:00-00:00,2022-08-22T07:10:00-00:00,2022-08-22,01,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,1.69449,2,1
2022-08-22T07:10:00-00:00,2022-08-22T07:15:00-00:00,2022-08-22,01,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,1.8749,3,1
2022-08-22T07:15:00-00:00,2022-08-22T07:20:00-00:00,2022-08-22,01,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,2.17568,4,1
2022-08-22T07:20:00-00:00,2022-08-22T07:25:00-00:00,2022-08-22,01,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,2.35077,5,1
2022-08-22T07:25:00-00:00,2022-08-22T07:30:00-00:00,2022-08-22,01,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,2.53272,6,1
2022-08-22T07:30:00-00:00,2022-08-22T07:35:00-00:00,2022-08-22,01,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.00845,7,1
2022-08-22T07:35:00-00:00,2022-08-22T07:40:00-00:00,2022-08-22,01,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.47574,8,1
2022-08-22T07:40:00-00:00,2022-08-22T07:45:00-00:00,2022-08-22,01,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.73181,9,1
2022-08-22T07:45:00-00:00,2022-08-22T07:50:00-00:00,2022-08-22,01,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.76487,10,1
2022-08-22T07:50:00-00:00,2022-08-22T07:55:00-00:00,2022-08-22,01,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.60668,11,1
2022-08-22T07:55:00-00:00,2022-08-22T08:00:00-00:00,2022-08-22,01,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.43403,12,1
2022-08-22T08:00:00-00:00,2022-08-22T08:05:00-00:00,2022-08-22,02,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,1.25676,1,1
2022-08-22T08:05:00-00:00,2022-08-22T08:10:00-00:00,2022-08-22,02,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,2.51019,2,1
2022-08-22T08:10:00-00:00,2022-08-22T08:15:00-00:00,2022-08-22,02,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,3.21656,3,1
2022-08-22T08:15:00-00:00,2022-08-22T08:20:00-00:00,2022-08-22,02,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,3.62761,4,1
2022-08-22T08:20:00-00:00,2022-08-22T08:25:00-00:00,2022-08-22,02,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,3.58007,5,1
2022-08-22T08:25:00-00:00,2022-08-22T08:30:00-00:00,2022-08-22,02,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,4.61806,6,1
2022-08-22T08:30:00-00:00,2022-08-22T08:35:00-00:00,2022-08-22,02,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,5.20215,7,1
2022-08-22T08:35:00-00:00,2022-08-22T08:40:00-00:00,2022-08-22,02,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,5.32379,8,1
2022-08-22T08:40:00-00:00,2022-08-22T08:45:00-00:00,2022-08-22,02,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,5.21686,9,1
2022-08-22T08:45:00-00:00,2022-08-22T08:50:00-00:00,2022-08-22,02,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,5.32497,10,1
2022-08-22T08:50:00-00:00,2022-08-22T08:55:00-00:00,2022-08-22,02,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,5.24119,11,1
2022-08-22T08:55:00-00:00,2022-08-22T09:00:00-00:00,2022-08-22,02,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,5.24119,12,1
2022-08-22T09:00:00-00:00,2022-08-22T09:05:00-00:00,2022-08-22,03,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,3.53388,1,1
2022-08-22T09:05:00-00:00,2022-08-22T09:10:00-00:00,2022-08-22,03,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,3.57035,2,1
2022-08-22T09:10:00-00:00,2022-08-22T09:15:00-00:00,2022-08-22,03,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,3.69658,3,1
2022-08-22T09:15:00-00:00,2022-08-22T09:20:00-00:00,2022-08-22,03,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,1.21007,4,1
2022-08-22T09:20:00-00:00,2022-08-22T09:25:00-00:00,2022-08-22,03,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,RTM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,2.58545,5,1
