INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2022-08-15T07:00:00-00:00,2022-08-15T07:05:00-00:00,2022-08-15,01,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,10.65513,1,1
2022-08-15T07:05:00-00:00,2022-08-15T07:10:00-00:00,2022-08-15,01,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,9.44533,2,1
2022-08-15T07:10:00-00:00,2022-08-15T07:15:00-00:00,2022-08-15,01,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,10.2072,3,1
2022-08-15T07:15:00-00:00,2022-08-15T07:20:00-00:00,2022-08-15,01,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,9.08061,4,1
2022-08-15T07:20:00-00:00,2022-08-15T07:25:00-00:00,2022-08-15,01,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,9.6175,5,1
2022-08-15T07:25:00-00:00,2022-08-15T07:30:00-00:00,2022-08-15,01,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,10.79319,6,1
2022-08-15T07:30:00-00:00,2022-08-15T07:35:00-00:00,2022-08-15,01,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,2.9051,7,1
2022-08-15T07:35:00-00:00,2022-08-15T07:40:00-00:00,2022-08-15,01,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,12.92283,8,1
2022-08-15T07:40:00-00:00,2022-08-15T07:45:00-00:00,2022-08-15,01,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,12.01108,9,1
2022-08-15T07:45:00-00:00,2022-08-15T07:50:00-00:00,2022-08-15,01,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,2.19565,10,1
2022-08-15T07:50:00-00:00,2022-08-15T07:55:00-00:00,2022-08-15,01,TH_SP15_GEN-APND,TH_SP15_GEN-APND,TH_SP15_GEN-APND,RTM,MCC,LMP_CONG_PRC,TH_SP15_GEN-APND,ALL_APNODES,0,3.50797,11,1
